id,location,city,distinct,province_id,people,GDPTotal,GDPPerson
110000,北京市,1,0,110000,2154.2,30320,140748.31
120000,天津市,1,0,120000,1556.87,18809.64,120817.02
130100,石家庄市,1,0,130000,1087.99,6082.6,55906.76
130200,唐山市,1,0,130000,789.7,6955,88071.42
130300,秦皇岛市,1,0,130000,311.08,1635.56,52576.83
130400,邯郸市,1,0,130000,951.11,3454.6,36321.77
130500,邢台市,1,0,130000,735.16,2150.76,29255.67
130600,保定市,1,0,130000,1169.05,3589.8,30706.98
130700,张家口市,1,0,130000,443.3,1536.6,34662.76
130800,承德市,1,0,130000,356.5,1481.5,41556.8
130900,沧州市,1,0,130000,755.49,3676.4,48662.46
131000,廊坊市,1,0,130000,467.8,3108.2,66442.92
131100,衡水市,1,0,130000,446.04,1558.7,34945.3
140100,太原市,1,0,140000,442.14,3884.48,87856.34
140200,大同市,1,0,140000,245.6,1271.8,51783.39
140300,阳泉市,1,0,140000,141.44,733.7,51873.59
140400,长治市,1,0,140000,346.82,1645.6,47448.24
140500,晋城市,1,0,140000,234.31,1351.9,57697.07
140600,朔州市,1,0,140000,178.12,1065.6,59824.84
140700,晋中市,1,0,140000,338.16,1447.6,42808.14
140800,运城市,1,0,140000,535.96,1509.6,28166.28
140900,忻州市,1,0,140000,317.2,989.1,31182.22
141000,临汾市,1,0,140000,450.03,1440,31997.87
141100,吕梁市,1,0,140000,388.56,1420.3,36552.91
150100,呼和浩特市,1,0,150000,311.48,2903.5,93216.26
150200,包头市,1,0,150000,287.77,2911.6,101178.02
150300,乌海市,1,0,150000,56.33,495.9,88034.79
150400,赤峰市,1,0,150000,431.48,1549.87,35919.86
150500,通辽市,1,0,150000,313.32,1301.6,41542.19
150600,鄂尔多斯市,1,0,150000,206.87,3763.2,181911.35
150700,呼伦贝尔市,1,0,150000,252.92,1252.9,49537.4
150800,巴彦淖尔市,1,0,150000,168.48,813.1,48260.92
150900,乌兰察布市,1,0,150000,209.61,764.5,36472.5
152200,兴安盟,1,0,150000,160.42,472.48,29452.69
152500,锡林郭勒盟,1,0,150000,105.61,813.9,77066.57
152900,阿拉善盟,1,0,150000,24.8,283.3,114233.87
210100,沈阳市,1,0,210000,829.4,6292.4,75866.89
210200,大连市,1,0,210000,698.8,7668.5,109738.12
210300,鞍山市,1,0,210000,360.5,1751.1,48574.2
210400,抚顺市,1,0,210000,210.7,1037.7,49250.12
210500,本溪市,1,0,210000,176.42,813.2,46094.55
210600,丹东市,1,0,210000,239.5,816.7,34100.21
210700,锦州市,1,0,210000,306.3,1192.4,38929.15
210800,营口市,1,0,210000,243.8,1346.7,55237.9
210900,阜新市,1,0,210000,176.65,446,25247.66
211000,辽阳市,1,0,210000,183.7,869.7,47343.49
211100,盘锦市,1,0,210000,143.67,1216.6,84680.17
211200,铁岭市,1,0,210000,265.3,600.8,22646.06
211300,朝阳市,1,0,210000,294.92,831.4,28190.7
211400,葫芦岛市,1,0,210000,255.2,812.8,31849.53
220100,长春市,1,0,220000,751.29,7157.7,95272.13
220200,吉林市,1,0,220000,413.52,2210.24,53449.38
220300,四平市,1,0,220000,319.28,944.32,29576.68
220400,辽源市,1,0,220000,117.24,621.6,53019.54
220500,通化市,1,0,220000,215.94,829.3,38404.19
220600,白山市,1,0,220000,118.1,661.71,56029.63
220700,松原市,1,0,220000,275.41,1373.6,49874.76
220800,白城市,1,0,220000,189.91,606.51,31936.5
222400,延边朝鲜族自治州,1,0,220000,208.66,709.5,34002.68
230100,哈尔滨市,1,0,230000,1092.9,6300.5,57649.37
230200,齐齐哈尔市,1,0,230000,529.7,1340.2,25301.11
230300,鸡西市,1,0,230000,184.18,535.2,29058.53
230400,鹤岗市,1,0,230000,99.5,151.4,15216.08
230500,双鸭山市,1,0,230000,145.9,507,34749.83
230600,大庆市,1,0,230000,318.36,2801.2,87988.44
230700,伊春市,1,0,230000,114.09,274.15,24029.28
230800,佳木斯市,1,0,230000,251.83,1012,40185.84
230900,七台河市,1,0,230000,86.84,250.3,28823.12
231000,牡丹江市,1,0,230000,252.5,834.8,33061.39
231100,黑河市,1,0,230000,160.5,505.1,31470.4
231200,绥化市,1,0,230000,527.6,1359.6,25769.52
232700,大兴安岭地区,1,0,230000,43,69.51,16165.12
310000,上海市,1,0,310000,2415.27,32679.87,135305.25
320100,南京市,1,0,320000,843.62,12820.4,152886
320200,无锡市,1,0,320000,657.45,11438.62,174270
320300,徐州市,1,0,320000,880.2,6755.23,76915
320400,常州市,1,0,320000,472.86,7050.27,149275
320500,苏州市,1,0,320000,1072.17,18597.47,173765
320600,南通市,1,0,320000,731,8427,115320
320700,连云港市,1,0,320000,452,2771.7,61332
320800,淮安市,1,0,320000,492.5,3601.25,73204
320900,盐城市,1,0,320000,720,5487.08,75987
321000,扬州市,1,0,320000,453.1,5466.17,120944
321100,镇江市,1,0,320000,319.64,4050,126906
321200,泰州市,1,0,320000,463.57,5107.63,109988
321300,宿迁市,1,0,320000,492.59,2750.72,55906
330100,杭州市,1,0,330000,980.6,13509.2,137764.63
330200,宁波市,1,0,330000,820.2,10745.5,131010.73
330300,温州市,1,0,330000,925,6006.16,64931.46
330400,嘉兴市,1,0,330000,472.6,4871.98,103088.87
330500,湖州市,1,0,330000,302.7,2719.1,89828.21
330600,绍兴市,1,0,330000,503.5,5416.9,107584.91
330700,金华市,1,0,330000,560.4,4100.2,73165.6
330800,衢州市,1,0,330000,220.9,1470.58,66572.2
330900,舟山市,1,0,330000,117.3,1316.7,112250.64
331000,台州市,1,0,330000,613.9,4874.67,79404.95
331100,丽水市,1,0,330000,219.9,1394.67,63422.92
