province_id,province_name,city_id,city_name,city_confirmedNum,city_deathsNum,city_curesNum
510000,四川省,510800,广元市,6,0,6
510000,四川省,510900,遂宁市,17,0,17
510000,四川省,511000,内江市,22,0,22
510000,四川省,511100,乐山市,3,0,3
510000,四川省,511300,南充市,39,0,39
510000,四川省,511400,眉山市,8,0,8
510000,四川省,511500,宜宾市,12,0,12
510000,四川省,511600,广安市,30,0,30
510000,四川省,511700,达州市,42,0,42
510000,四川省,511800,雅安市,7,0,7
510000,四川省,511900,巴中市,24,0,24
510000,四川省,512000,资阳市,4,0,4
510000,四川省,513200,阿坝藏族羌族自治州,1,0,1
510000,四川省,513300,甘孜藏族自治州,78,0,78
510000,四川省,513400,凉山彝族自治州,13,0,13
520000,贵州省,520100,贵阳市,36,1,35
520000,贵州省,520200,六盘水市,10,1,9
520000,贵州省,520300,遵义市,32,0,32
520000,贵州省,520400,安顺市,4,0,4
520000,贵州省,520500,毕节市,23,0,23
520000,贵州省,520600,铜仁市,10,0,10
520000,贵州省,522300,黔西南布依族苗族自治州,4,0,4
520000,贵州省,522600,黔东南苗族侗族自治州,10,0,10
520000,贵州省,522700,黔南布依族苗族自治州,17,0,17
530000,云南省,530100,昆明市,53,0,53
530000,云南省,530300,曲靖市,13,0,13
530000,云南省,530400,玉溪市,14,1,13
530000,云南省,530500,保山市,9,0,9
530000,云南省,530600,昭通市,25,0,25
530000,云南省,530700,丽江市,7,0,7
530000,云南省,530800,普洱市,4,0,4
530000,云南省,530900,临沧市,1,0,1
530000,云南省,532300,楚雄彝族自治州,4,0,4
530000,云南省,532500,红河哈尼族彝族自治州,9,0,9
530000,云南省,532600,文山壮族苗族自治州,2,0,2
530000,云南省,532800,西双版纳傣族自治州,15,1,14
530000,云南省,532900,大理白族自治州,13,0,13
530000,云南省,533100,德宏傣族景颇族自治州,5,0,5
530000,云南省,533300,怒江傈僳族自治州,0,0,0
530000,云南省,533400,迪庆藏族自治州,0,0,0
540000,西藏自治区,540100,拉萨市,1,0,1
540000,西藏自治区,540200,日喀则市,0,0,0
540000,西藏自治区,540300,昌都市,0,0,0
540000,西藏自治区,540400,林芝市,0,0,0
540000,西藏自治区,542200,山南地区,0,0,0
540000,西藏自治区,542400,那曲地区,0,0,0
540000,西藏自治区,542500,阿里地区,0,0,0
610000,陕西省,610100,西安市,120,3,117
610000,陕西省,610200,铜川市,8,0,8
610000,陕西省,610300,宝鸡市,13,0,13
610000,陕西省,610400,咸阳市,17,0,17
610000,陕西省,610500,渭南市,15,0,15
610000,陕西省,610600,延安市,8,0,8
610000,陕西省,610700,汉中市,26,0,26
610000,陕西省,610800,榆林市,3,0,3
610000,陕西省,610900,安康市,26,0,26
610000,陕西省,611000,商洛市,7,0,7
620000,甘肃省,620100,兰州市,37,2,35
620000,甘肃省,620200,嘉峪关市,0,0,0
620000,甘肃省,620300,金昌市,1,0,1
620000,甘肃省,620400,白银市,4,0,4
620000,甘肃省,620500,天水市,12,0,12
