date,city,cityCode,confirmed,cured,dead
2020-02-12,哈密市,652200,0,0,0
2020-02-13,山南市,542200,0,0,0
2020-02-13,哈密市,652200,0,0,0
2020-02-14,山南市,542200,0,0,0
2020-02-14,哈密市,652200,0,0,0
2020-02-15,山南市,542200,0,0,0
2020-02-15,哈密市,652200,0,0,0
2020-02-16,山南市,542200,0,0,0
2020-02-16,哈密市,652200,0,0,0
2020-02-17,山南市,542200,0,0,0
2020-02-17,哈密市,652200,0,0,0
2020-02-18,山南市,542200,0,0,0
2020-02-18,哈密市,652200,0,0,0
2020-02-19,山南市,542200,0,0,0
2020-02-19,哈密市,652200,0,0,0
2020-02-20,山南市,542200,0,0,0
2020-02-20,哈密市,652200,0,0,0
2020-02-21,山南市,542200,0,0,0
2020-02-21,哈密市,652200,0,0,0
2020-02-22,山南市,542200,0,0,0
2020-02-22,哈密市,652200,0,0,0
2020-02-23,山南市,542200,0,0,0
2020-02-23,哈密市,652200,0,0,0
2020-02-24,山南市,542200,0,0,0
2020-02-24,哈密市,652200,0,0,0
2020-02-25,山南市,542200,0,0,0
2020-02-25,哈密市,652200,0,0,0
2020-02-26,山南市,542200,0,0,0
2020-02-26,哈密市,652200,0,0,0
2020-02-27,山南市,542200,0,0,0
2020-02-27,哈密市,652200,0,0,0
2020-02-28,山南市,542200,0,0,0
2020-02-28,哈密市,652200,0,0,0
2020-02-29,山南市,542200,0,0,0
2020-02-29,哈密市,652200,0,0,0
2020-03-01,山南市,542200,0,0,0
2020-03-01,哈密市,652200,0,0,0
2020-03-02,山南市,542200,0,0,0
2020-03-02,哈密市,652200,0,0,0
2020-03-03,山南市,542200,0,0,0
2020-03-03,哈密市,652200,0,0,0
2020-03-04,山南市,542200,0,0,0
2020-03-04,哈密市,652200,0,0,0
2020-03-05,山南市,542200,0,0,0
2020-03-05,哈密市,652200,0,0,0
2020-03-06,山南市,542200,0,0,0
2020-03-06,哈密市,652200,0,0,0
2020-03-07,山南市,542200,0,0,0
2020-03-07,哈密市,652200,0,0,0
2020-03-08,山南市,542200,0,0,0
2020-03-08,哈密市,652200,0,0,0
2020-03-09,山南市,542200,0,0,0
2020-03-09,哈密市,652200,0,0,0
2020-03-10,山南市,542200,0,0,0
2020-03-10,哈密市,652200,0,0,0
2020-03-11,山南市,542200,0,0,0
2020-03-11,哈密市,652200,0,0,0
2020-03-12,山南市,542200,0,0,0
2020-03-12,哈密市,652200,0,0,0
2020-03-13,山南市,542200,0,0,0
2020-03-13,哈密市,652200,0,0,0
2020-03-14,山南市,542200,0,0,0
2020-03-14,哈密市,652200,0,0,0
2020-03-15,山南市,542200,0,0,0
2020-03-15,哈密市,652200,0,0,0
2020-03-16,山南市,542200,0,0,0
2020-03-16,哈密市,652200,0,0,0
2020-03-17,山南市,542200,0,0,0
2020-03-17,哈密市,652200,0,0,0
2020-03-18,山南市,542200,0,0,0
2020-03-18,哈密市,652200,0,0,0
2020-03-19,山南市,542200,0,0,0
2020-03-19,哈密市,652200,0,0,0
2020-03-20,山南市,542200,0,0,0
2020-03-20,哈密市,652200,0,0,0
2020-03-21,山南市,542200,0,0,0
2020-03-21,哈密市,652200,0,0,0
2020-03-22,山南市,542200,0,0,0
2020-03-22,哈密市,652200,0,0,0
2020-03-23,山南市,542200,0,0,0
2020-03-23,哈密市,652200,0,0,0
2020-03-24,山南市,542200,0,0,0
2020-03-24,哈密市,652200,0,0,0
2020-03-25,山南市,542200,0,0,0
2020-03-25,哈密市,652200,0,0,0
2020-03-26,山南市,542200,0,0,0
2020-03-26,哈密市,652200,0,0,0
2020-03-27,山南市,542200,0,0,0
2020-03-27,哈密市,652200,0,0,0
2020-03-28,山南市,542200,0,0,0
2020-03-28,哈密市,652200,0,0,0
2020-03-29,山南市,542200,0,0,0
2020-03-29,哈密市,652200,0,0,0
2020-03-30,山南市,542200,0,0,0
2020-03-30,哈密市,652200,0,0,0
2020-03-31,山南市,542200,0,0,0
2020-03-31,哈密市,652200,0,0,0
2020-04-01,山南市,542200,0,0,0
2020-04-01,哈密市,652200,0,0,0
2020-04-02,山南市,542200,0,0,0
2020-04-02,哈密市,652200,0,0,0
2020-04-03,山南市,542200,0,0,0
2020-04-03,哈密市,652200,0,0,0
2020-04-04,山南市,542200,0,0,0
2020-04-04,哈密市,652200,0,0,0
2020-04-05,山南市,542200,0,0,0
2020-04-05,哈密市,652200,0,0,0
2020-04-06,山南市,542200,0,0,0
2020-04-06,哈密市,652200,0,0,0
2020-04-07,山南市,542200,0,0,0
2020-04-07,哈密市,652200,0,0,0
2020-04-08,山南市,542200,0,0,0
2020-04-08,哈密市,652200,0,0,0
2020-04-09,山南市,542200,0,0,0
2020-04-09,哈密市,652200,0,0,0
2020-04-10,山南市,542200,0,0,0
2020-04-10,哈密市,652200,0,0,0
2020-04-11,山南市,542200,0,0,0
2020-04-11,哈密市,652200,0,0,0
2020-04-12,山南市,542200,0,0,0
2020-04-12,哈密市,652200,0,0,0
2020-04-13,山南市,542200,0,0,0
2020-04-13,哈密市,652200,0,0,0
2020-04-14,山南市,542200,0,0,0
2020-04-14,哈密市,652200,0,0,0
2020-04-15,山南市,542200,0,0,0
2020-04-15,哈密市,652200,0,0,0
2020-04-16,山南市,542200,0,0,0
2020-04-16,哈密市,652200,0,0,0
2020-04-17,山南市,542200,0,0,0
2020-04-17,哈密市,652200,0,0,0
2020-04-18,山南市,542200,0,0,0
2020-04-18,哈密市,652200,0,0,0
2020-04-19,山南市,542200,0,0,0
2020-04-19,哈密市,652200,0,0,0
2020-04-20,山南市,542200,0,0,0
2020-04-20,哈密市,652200,0,0,0
2020-04-21,山南市,542200,0,0,0
2020-04-21,哈密市,652200,0,0,0
2020-04-22,山南市,542200,0,0,0
2020-04-22,哈密市,652200,0,0,0
2020-04-23,山南市,542200,0,0,0
2020-04-23,哈密市,652200,0,0,0
2020-04-24,山南市,542200,0,0,0
2020-04-24,哈密市,652200,0,0,0
2019-12-01,武汉市,420100,1,0,0
2019-12-02,武汉市,420100,1,0,0
2019-12-03,武汉市,420100,1,0,0
2019-12-04,武汉市,420100,1,0,0
2019-12-05,武汉市,420100,1,0,0
2019-12-06,武汉市,420100,1,0,0
2019-12-07,武汉市,420100,1,0,0
2019-12-08,武汉市,420100,1,0,0
2019-12-09,武汉市,420100,1,0,0
2019-12-10,武汉市,420100,1,0,0
2019-12-11,武汉市,420100,4,0,0
2019-12-12,武汉市,420100,4,0,0
2019-12-13,武汉市,420100,4,0,0
2019-12-14,武汉市,420100,4,0,0
2019-12-15,武汉市,420100,6,0,0
2019-12-16,武汉市,420100,6,0,0
2019-12-17,武汉市,420100,7,0,0
2019-12-18,武汉市,420100,8,0,0
2019-12-19,武汉市,420100,9,0,0
2019-12-20,武汉市,420100,14,0,0
2019-12-21,武汉市,420100,18,0,0
2019-12-22,武汉市,420100,21,0,0
2019-12-23,武汉市,420100,29,0,0
2019-12-24,武汉市,420100,30,0,0
2019-12-25,武汉市,420100,33,0,0
2019-12-26,武汉市,420100,35,0,0
2019-12-27,武汉市,420100,37,0,0
2019-12-28,武汉市,420100,37,0,0
2019-12-29,武汉市,420100,37,0,0
2019-12-30,武汉市,420100,37,0,0
2019-12-31,武汉市,420100,40,0,0
2020-01-01,武汉市,420100,43,0,0
2020-01-02,武汉市,420100,44,0,0
2020-01-03,武汉市,420100,41,0,0
2020-01-04,武汉市,420100,41,0,0
2020-01-05,武汉市,420100,41,0,0
2020-01-06,武汉市,420100,41,0,0
2020-01-07,武汉市,420100,41,0,0
2020-01-08,武汉市,420100,41,0,0
2020-01-09,武汉市,420100,41,0,0
2020-01-10,武汉市,420100,41,2,1
2020-01-11,武汉市,420100,41,6,1
2020-01-12,武汉市,420100,41,7,1
2020-01-13,武汉市,420100,41,7,1
2020-01-14,武汉市,420100,41,7,1
2020-01-15,武汉市,420100,41,12,2
2020-01-16,武汉市,420100,45,15,2
2020-01-17,武汉市,420100,62,19,2
2020-01-18,武汉市,420100,121,24,3
2020-01-19,武汉市,420100,198,25,3
2020-01-19,深圳市,440300,1,0,0
2020-01-21,牡丹江市,231000,0,0,0
