id,moveIn_index_mean,moveIn_index_max,moveIn_index_min,moveIn_index_mean_before,moveIn_index_max_before,moveIn_index_min_before,moveIn_index_mean_after,moveIn_index_max_after,moveIn_index_min_after,moveOut_index_mean,moveOut_index_max,moveOut_index_min,moveOut_index_mean_before,moveOut_index_max_before,moveOut_index_min_before,moveOut_index_mean_after,moveOut_index_max_after,moveOut_index_min_after,travel_index_mean,travel_index_max,travel_index_min,travel_index_mean_before,travel_index_max_before,travel_index_min_before,travel_index_mean_after,travel_index_max_after,travel_index_min_after
222400,0.1281067200000001,0.4037364,0.028512,0.33320520000000003,0.4037364,0.2231712,0.07683209999999997,0.288198,0.028512,0.12703823999999997,0.364338,0.0299052,0.29122200000000004,0.364338,0.1845504,0.08599229999999997,0.270378,0.0299052,3.0908422222222214,5.5574,1.7037,4.947822222222222,5.5574,3.6635,2.6265972222222222,3.9491,1.7037
230100,0.9758584799999994,3.0350052,0.214974,2.3690484,3.0350052,1.2931164,0.627561,2.1151044,0.214974,0.9406058399999998,3.6871524,0.2135808,2.66859,3.6871524,1.604448,0.5086097999999999,1.8128124,0.2135808,2.290024444444444,5.5989,1.1925,4.739466666666666,5.5989,3.038,1.6776638888888886,3.016,1.1925
230200,0.338886,1.289682,0.0674244,1.0177991999999998,1.289682,0.5912028,0.1691577,0.7418952,0.0674244,0.3225232800000001,0.815022,0.1088964,0.5358564,0.6506892,0.3813804,0.2691900000000001,0.815022,0.1088964,2.7303911111111105,5.6105,1.4889,5.186655555555556,5.6105,4.1649,2.1163249999999993,4.467,1.4889
230300,0.0816408,0.3255552,0.010044,0.25612919999999995,0.3255552,0.1310256,0.03801869999999999,0.1774872,0.010044,0.08790048,0.220806,0.023328,0.1624464,0.2003292,0.0946728,0.06926399999999999,0.220806,0.023328,2.3127911111111112,5.167,1.1804,4.754144444444444,5.167,3.7423,1.702452777777778,4.0588,1.1804
230400,0.06240888,0.243162,0.0094608,0.1861812,0.243162,0.1173528,0.031465800000000016,0.1423656,0.0094608,0.06647328000000001,0.1753488,0.0161676,0.14298480000000002,0.1753488,0.0902016,0.04734540000000001,0.14985,0.0161676,2.936064444444445,5.4858,1.7007,5.209877777777779,5.4858,4.4577,2.3676111111111116,4.5517,1.7007
230500,0.0903204,0.347328,0.0130572,0.27550440000000004,0.347328,0.1578852,0.0440244,0.20493,0.0130572,0.09518328000000002,0.2420928,0.024786,0.1915488,0.2420928,0.1124928,0.07109190000000001,0.240894,0.024786,2.504406666666667,5.3463,1.2149,4.973766666666666,5.3463,3.9075,1.8870666666666667,4.0413,1.2149
230600,0.31486392,0.9029232,0.0652212,0.7279704,0.893592,0.5099112,0.2115873,0.9029232,0.0652212,0.3310416,1.1541528,0.0835272,0.8338068000000001,1.1541528,0.608472,0.20535029999999999,0.7991784,0.0835272,2.9320466666666665,6.1595,1.6995,5.3748,6.1595,3.815,2.3213583333333334,3.8259,1.6995
230700,0.0723816,0.323838,0.006642,0.2449116,0.323838,0.1365012,0.029249099999999997,0.1651104,0.006642,0.06968160000000002,0.1753488,0.0157464,0.12867839999999997,0.155358,0.0684288,0.05493240000000002,0.1753488,0.0157464,2.5713155555555556,4.8333,1.3527,4.540466666666666,4.8333,3.744,2.079027777777778,3.9309,1.3527
230800,0.18718919999999997,0.6301152,0.0387828,0.5161967999999999,0.6301152,0.2923128,0.1049373,0.4314708,0.0387828,0.17595000000000005,0.4509756,0.0515808,0.38405880000000003,0.4509756,0.2602692,0.12392279999999996,0.39447,0.0515808,2.533544444444444,5.4885,1.3142,4.979611111111112,5.4885,3.7002,1.9220277777777777,3.8735,1.3142
230900,0.049563359999999994,0.1823148,0.0086832,0.1470456,0.1823148,0.0911412,0.0251928,0.1383156,0.0086832,0.05497631999999998,0.1478736,0.014256,0.1144872,0.1381212,0.0818748,0.0400986,0.1478736,0.014256,2.706564444444445,6.1719,1.4604,5.714166666666667,6.1719,4.5161,1.9546638888888888,4.4949,1.4604
