city_baidu_id,name,id,20200117_moveIn,20200118_moveIn,20200119_moveIn,20200120_moveIn,20200121_moveIn,20200122_moveIn,20200123_moveIn,20200124_moveIn,20200125_moveIn,20200126_moveIn,20200127_moveIn,20200128_moveIn,20200129_moveIn,20200130_moveIn,20200131_moveIn,20200201_moveIn,20200202_moveIn,20200203_moveIn,20200204_moveIn,20200205_moveIn,20200206_moveIn,20200207_moveIn,20200208_moveIn,20200209_moveIn,20200210_moveIn,20200211_moveIn,20200212_moveIn,20200213_moveIn,20200214_moveIn,20200215_moveIn,20200216_moveIn,20200217_moveIn,20200218_moveIn,20200219_moveIn,20200220_moveIn,20200221_moveIn,20200222_moveIn,20200223_moveIn,20200224_moveIn,20200225_moveIn,20200226_moveIn,20200227_moveIn,20200228_moveIn,20200229_moveIn,20200301_moveIn
410100,郑州市,410100,5.0941548,5.0725764,4.9014072,4.8667068,5.3325216,4.0876164,3.372516,2.5768368,2.2918788,4.9686372,3.839562,2.6691768,2.2432788,2.254392,1.7618472,1.3733388,1.3423968,1.0087092,0.7047,0.6543828,0.534438,0.588708,0.6441768,0.9113472,0.9328932,0.8530596,0.9396648,0.9905976,0.9824328,0.9226548,1.0996236,1.4950008,1.4500296,1.4987916,1.4312376,1.4495436,1.7934696,1.9786356,2.3246028,2.3122584,2.294244,2.0387052,2.1787056,2.3307912,2.6870616
410200,开封市,410200,1.9284156,2.0685456,2.2422744,2.3753412,2.7103896,2.6095284,2.5339392,2.147148,1.249506,0.9910836,0.507708,0.351702,0.2728728,0.245592,0.2029536,0.1854252,0.2166912,0.1701648,0.1555524,0.1444068,0.1297296,0.1422036,0.1383156,0.1529928,0.1535112,0.1536084,0.1587276,0.1600236,0.1583064,0.1499796,0.155034,0.173502,0.182574,0.1894752,0.2062584,0.2516832,0.3639492,0.359154,0.4532112,0.4036716,0.4148496,0.374706,0.3893832,0.4581684,0.5124384
410300,洛阳市,410300,1.806948,1.8893088,1.8961128,2.0265552,2.2919112,2.07036,1.8927108,1.542564,0.9437148,0.9404424,0.7347024,0.5714388,0.4617972,0.41715,0.3236436,0.2509704,0.2640276,0.2001348,0.1491048,0.13689,0.1200744,0.1266516,0.1283364,0.1314144,0.1418472,0.129924,0.127818,0.1320624,0.1337796,0.1291788,0.1237356,0.1416528,0.1483272,0.1604448,0.1621296,0.1897344,0.2696004,0.3234492,0.3647916,0.392364,0.4120632,0.3764556,0.3934656,0.4626396,0.4635792
410400,平顶山市,410400,1.590192,1.5969312,1.6836336,1.8497484,2.1045096,1.8604404,1.7659296,1.4781204,0.831546,0.7557948,0.5022,0.35883,0.2960388,0.2699568,0.2179224,0.1648512,0.1692252,0.1163484,0.1054944,0.0939924,0.0893916,0.0961956,0.097686,0.0985932,0.0980424,0.1052028,0.1047816,0.1108404,0.1117152,0.10368,0.1071792,0.1174176,0.1278828,0.1369548,0.1449252,0.1969596,0.3017736,0.3265272,0.3609036,0.3759372,0.3729564,0.3433104,0.3872124,0.4553172,0.4597884
410500,安阳市,410500,1.5550704,1.6820784,1.7334324,1.9104984,2.2517028,2.2248108,2.2137948,1.9604916,0.983016,0.651078,0.4023432,0.2858004,0.2356452,0.2244348,0.1916784,0.1804356,0.2176956,0.1805328,0.1505628,0.1449252,0.134622,0.150012,0.1496556,0.1620972,0.172854,0.1614816,0.1625832,0.1530576,0.1484244,0.1438884,0.1470636,0.1691604,0.17172,0.1774872,0.1961496,0.2320488,0.296622,0.3027456,0.3075408,0.3007044,0.3083832,0.2969136,0.2995704,0.3594132,0.393822
410600,鹤壁市,410600,0.5225148,0.5525496,0.5535864,0.6059448,0.6787152,0.6481296,0.6116472,0.535734,0.2818476,0.2348676,0.1506276,0.1127196,0.0869616,0.0754272,0.069498,0.0605232,0.0738072,0.058968,0.0533304,0.049734,0.0448416,0.0479844,0.052164,0.0524556,0.0527796,0.0495396,0.0446472,0.0455544,0.0423792,0.0458136,0.0414396,0.0494748,0.053946,0.0587088,0.065124,0.0822636,0.110808,0.1085076,0.1147932,0.1124928,0.1110996,0.1079244,0.103842,0.1180332,0.1284336
410700,新乡市,410700,1.795932,1.8571032,1.8433656,2.0068884,2.3254776,2.2245192,2.0867868,1.767258,0.9920232,0.7985628,0.5080968,0.3820284,0.3342708,0.3110724,0.2654532,0.2377188,0.2724516,0.2350296,0.1898964,0.1803384,0.1610604,0.17982,0.1887948,0.2068416,0.2089152,0.1934604,0.1855224,0.178362,0.1690632,0.1624212,0.16119,0.1916784,0.2017548,0.2150712,0.2149416,0.2599452,0.3525444,0.3814128,0.4499388,0.4348404,0.4521096,0.42444,0.4324752,0.5126976,0.52893
410800,焦作市,410800,1.0123704,1.0329444,1.0140228,1.1000772,1.2809016,1.2263724,1.2139956,1.096578,0.600048,0.5510916,0.3516372,0.2684988,0.2053836,0.2007504,0.1640736,0.1418148,0.1587924,0.1252908,0.0927288,0.0827496,0.0717984,0.0761724,0.0821988,0.0852768,0.0985608,0.0862164,0.0832032,0.08019,0.081486,0.077598,0.0794124,0.1077624,0.1087344,0.1183248,0.1273968,0.14418,0.1937844,0.2047356,0.2372652,0.2367468,0.2383344,0.2172096,0.2238192,0.2696976,0.2846664
410900,濮阳市,410900,1.1997072,1.2850164,1.4030172,1.5342372,1.7811252,1.6562556,1.469826,1.319166,0.7828164,0.6458616,0.38232,0.282366,0.2229768,0.1929744,0.1646244,0.1558764,0.1758348,0.1400004,0.1234764,0.1163484,0.1089612,0.1154088,0.1106784,0.1250316,0.1258416,0.1179684,0.1053972,0.1075032,0.1031616,0.0980424,0.1013796,0.1137888,0.1221804,0.1341036,0.1482948,0.2071008,0.2641572,0.2662632,0.2786076,0.2852172,0.2799036,0.274266,0.2576124,0.3079296,0.3388392
411000,许昌市,411000,1.6329924,1.6830504,1.7105904,1.9057356,2.1974328,2.0233476,1.9882908,1.8203616,0.99549,0.7931196,0.5056992,0.3853656,0.320598,0.3066012,0.2677212,0.2257956,0.2560572,0.2116044,0.1891188,0.177876,0.1555848,0.1622916,0.161838,0.1772928,0.186462,0.1700028,0.1749924,0.1712016,0.173988,0.1602504,0.1616112,0.1827036,0.1754136,0.1834812,0.187596,0.2383344,0.3580848,0.37908,0.4771224,0.4627692,0.4575528,0.4092768,0.4298508,0.5125356,0.5175252
411100,漯河市,411100,0.988686,1.089774,1.1430396,1.247886,1.3941396,1.3210452,1.2693348,1.0297692,0.6021864,0.5281524,0.3242268,0.2497392,0.226314,0.2255364,0.196344,0.1714608,0.2070684,0.1658556,0.1426896,0.1256796,0.1110348,0.1161216,0.1209168,0.1284336,0.1288224,0.1208844,0.124254,0.1246752,0.123606,0.1138212,0.1151172,0.1282392,0.1360476,0.1366308,0.1434672,0.1606716,0.2152656,0.240732,0.2754324,0.276534,0.2676564,0.2406996,0.2604312,0.3075732,0.3349512
411200,三门峡市,411200,0.6140124,0.6513048,0.7020108,0.7512264,0.8896068,0.8152164,0.7507728,0.6250608,0.3712392,0.337608,0.2619216,0.2115396,0.1694844,0.1551636,0.130248,0.1088316,0.1121364,0.0830088,0.0661608,0.0659664,0.0646704,0.06399,0.0638928,0.0637632,0.066744,0.0677808,0.0690444,0.0696276,0.0705996,0.0666792,0.0708912,0.0791856,0.0928908,0.0969408,0.0967464,0.1094472,0.159894,0.1811808,0.1975752,0.2471148,0.2013336,0.20574,0.178848,0.2154924,0.2158488
411300,南阳市,411300,3.1911084,3.2362092,3.4351452,3.7334844,4.330746,3.5959788,3.1310388,2.557656,1.1933892,0.7505136,0.547074,0.4308228,0.3694896,0.3281796,0.283986,0.2231064,0.2476332,0.1910304,0.175122,0.1761264,0.1717848,0.1800792,0.1757052,0.1736316,0.1805004,0.1782324,0.1835136,0.1933308,0.19197,0.185814,0.1831248,0.1863972,0.20169,0.2100168,0.2186676,0.2167236,0.2557008,0.2513916,0.2550528,0.2876148,0.3025836,0.2975292,0.2984688,0.3339468,0.3248748
411400,商丘市,411400,3.3387228,3.6334008,4.102326,4.1201784,4.7689236,4.1850432,3.8173032,3.3537888,1.8190656,1.4288076,0.7980768,0.5651856,0.4501332,0.4155948,0.3624588,0.3281472,0.4039632,0.3236112,0.2923776,0.2878416,0.2583576,0.2749464,0.263736,0.2844072,0.2908872,0.2861244,0.2811348,0.2949048,0.2829492,0.2848284,0.2688552,0.3111372,0.3344004,0.35235,0.3802464,0.4349376,0.5579604,0.5241348,0.6231168,0.6041304,0.6187428,0.5811264,0.564894,0.6351372,0.6645888
411500,信阳市,411500,3.0113208,2.8696032,3.159162,3.7086984,4.4087976,3.848796,3.3945804,2.4546888,0.9840204,0.6043572,0.4270968,0.3448656,0.2952936,0.2787048,0.2354184,0.1889568,0.2476332,0.161028,0.1446984,0.1393524,0.1399356,0.1563948,0.1546128,0.1415232,0.1459944,0.1338444,0.139644,0.1408428,0.1434672,0.1391256,0.1371492,0.13527,0.1502712,0.1615464,0.1623564,0.1614492,0.2096928,0.2071332,0.2102436,0.2256012,0.2647728,0.2455272,0.2577096,0.2666196,0.2437452
411600,周口市,411600,4.4651412,4.6433088,5.1296976,5.5653156,6.341166,5.4819828,5.172336,4.4574624,2.1873564,1.3740192,0.7135452,0.5368356,0.4681476,0.46008,0.41634,0.3905496,0.5121792,0.3706236,0.34101,0.322704,0.2989224,0.3034584,0.3058236,0.31509,0.3071196,0.3059856,0.3186216,0.326916,0.322542,0.2967516,0.3010932,0.3374136,0.3478788,0.3686148,0.372924,0.4120308,0.5776596,0.587574,0.7184376,0.6707772,0.6757992,0.6138504,0.6284304,0.7074864,0.742446
